id,parent_id,tipo,sku,nombre,old_stock,new_stock,new_status,motivo
18951,18946,variation,829263000073,NITRO BLEND UP DE 5 LBS CHOCOLATE MUSCLEOLOGY,6,6,outofstock,inventario
18979,18977,variation,850044753857,PROTEINA DE 4.8 LB VAINILLA PRIMEVAL LABS,79,79,instock,inventario
18978,18977,variation,850044753833,PROTEINA DE 4.8 LB COOKIE & CREAM PRIMEVAL LABS,69,69,instock,inventario
18988,18983,variation,850039445279,BUM-ENERGY - CHERRY FROST,0,0,outofstock,inventario
18987,18983,variation,850049150965,BUM-ENERGY - BLUE SNOW,2,2,outofstock,inventario
18986,18983,variation,850057175295,BUM-ENERGY - ROOT BEER,16,16,instock,inventario
18985,18983,variation,850049150347,BUM-ENERGY - CITRUS BURST,0,0,outofstock,inventario
18984,18983,variation,850039445286,BUM-ENERGY - ORANGE,0,0,outofstock,inventario
18913,18910,variation,181030000168,XTEND ORIGINAL 90 SERV. BLUE RASBERRY ICE,8,8,instock,inventario
18912,18910,variation,181030000144,XTEND ORIGINAL 90 SERV. SMASH APPLE,16,16,instock,inventario
18911,18910,variation,812135021665,XTEND ORIGINAL 90 SERV. ITALIAN BLOOD ORANGE,14,14,instock,inventario
18920,18917,variation,842595106046,C4 ORIGINAL FRUIT PUNCH 60 SERV (PRE-WORK) CELLUCOR,0,0,outofstock,inventario
18919,18917,variation,842595106084,C4 ORIGINAL ICE BLUE RAZZ 60 SERV (PRE-WORK) CELLUCOR,1,1,outofstock,inventario
18918,18917,variation,842595106121,C4 ORIGINAL PINK LEMONADE 60 SERV (PRE-WORK) CELLUCOR,0,0,outofstock,inventario
18908,18903,variation,810390028344,ALPHA AMINO 30 SERV. WATERMELON CELLUCOR,15,15,instock,inventario
18907,18903,variation,810390028320,ALPHA AMINO 30 SERV. FRUIT PUNCH CELLUCOR,8,8,instock,inventario
18906,18903,variation,810390028313,ALPHA AMINO 30 SERV. ICY BLUE RAZZ CELLUCOR,16,16,instock,inventario
19102,18895,variation,5056555201732,RTD FRUIT CANDY A.B.E,13,13,instock,inventario
18897,18895,variation,5056555202999,RTD BADDY BERRY A.B.E,21,21,instock,inventario
18896,18895,variation,5056555201725,RTD BLUE LAGOON A.B.E,64,64,instock,inventario
19089,19081,variation,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,691,691,instock,inventario
19088,19081,variation,748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,497,498,instock,inventario
19087,19081,variation,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,586,598,instock,inventario
19086,19081,variation,748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,383,383,instock,inventario
