sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,cambiara
850049150446,INT-CBUM-ITHOLATE-VANILLA-FL - 5LB (ISOLATADA),variation,1,instock,1,outofstock,0,SI
703556204846,PROLIVE BIO5 CARAMEL PEANUT BUTTER DE 5 LBS IMPULSE,variation,53,instock,49,instock,-4,SI
810121055274,EVP XTREME VICTORY PUNCH EVOGEN,variation,3,instock,1,outofstock,-2,SI
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),variation,756,instock,756,instock,0,no
666222097404,SUPER FAT BURNER + (MHP),simple,81,instock,81,instock,0,no
7503018110578,LEAN GAINER 12 LIBRAS DUTCH CHOCOLATE,variation,3,instock,3,outofstock,0,SI
850030689153,OPTIZINC REVIVE,simple,19,instock,19,instock,0,no
612590416606,PROTEINA WOMENS CHOCOLATE BROWNIE 2.04 LBS LANDERFIT,simple,1,instock,1,outofstock,0,SI
745560722206,THERMOBLAST M5 (FAT BURNER) 120 CAPS (QUEMADOR HOMBRE) IMPULSE,simple,3,instock,3,outofstock,0,SI
7113101732151,ULTRA VEGANA CARAMELO PEANUT BUTTER 3 LBS IMPULSE,variation,14,instock,14,instock,0,no
850026029079,WHEY 100 % CHOCOLATE 2 LBS 26 SERVING NUTREX,variation,22,instock,22,instock,0,no
853237000769,ISOFIT COOKIES AND CREAM 70SRV 5 LBS NUTREX,variation,3,instock,3,outofstock,0,SI
810121055755,AMINO K.E.N CRAN BERRY POMEGRANATE- EVOGEN,variation,3,instock,3,outofstock,0,SI
748927069815,PROTEIN SHAKE STRAWBERRY 325ML OPTIMUN NUTRICION,variation,99,instock,99,instock,0,no
850049150613,BETA ALANINE 60 SERVING RAW,simple,9,instock,9,instock,0,no
703556204730,L CARNITINA 3500 RED & GREEN IMPULSE,variation,8,instock,7,instock,-1,SI
748927026672,AMINO ENERGY WATERMELON 270 G,variation,150,instock,150,instock,0,no
810121053997,EVP 3D VICTORY PUNCH- EVOGEN,variation,5,instock,5,outofstock,0,SI
7500634002065,LEAN GAINER 8 LIBRAS VAINILLA,variation,2,instock,2,outofstock,0,SI
829263000189,COLLAGENO ENERGIZADO PEPTIDES AMPD BERRY - MUSCLEOLOGY,simple,3,instock,3,outofstock,0,SI
703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,variation,7,instock,6,outofstock,-1,SI
810121053232,GLYCOJECT DE 2LB STRAWBERRY LEMONADE EVOGEN,variation,8,instock,8,instock,0,no
810121056899,ISOJECT BIRTHDAY CAKE 1.71 LBS ISOJET EVOGEN,variation,6,instock,6,outofstock,0,SI
745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",simple,37,instock,36,instock,-1,SI
810121056158,LIPOCIDE-IR JUCY GRAPPE-EVOGEN,variation,18,instock,18,instock,0,no
810121055328,EVP-AQ TROPIC THUNDER- EVOGEN,variation,1,instock,1,outofstock,0,SI
