id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage
18870,18869,variation,703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,9,9,instock,instock,True
9152,0,simple,612590416606,PROTEINA WOMENS CHOCOLATE BROWNIE 2.04 LBS LANDERFIT,1,1,outofstock,instock,True
13387,0,simple,810014675435,VITAMINA B 12 DE 2000 MG 240 CAPSULAS,0,0,outofstock,outofstock,True
19411,19402,variation,810121053553,EVP XTREME N.O. STRAWERRY LEMONADE-EVOGEN,2,2,outofstock,instock,True
13391,0,simple,810014679570,YOHIMBINE120 CAPSULAS,82,82,instock,instock,True
19781,19778,variation,859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,6,5,outofstock,instock,True
19206,19205,variation,75016600694,ISO 100 DUNKIN GLAZED DONUT1.34 LBS DYMATIZE,2,2,outofstock,instock,True
9208,0,simple,612590416071,TRIBULUS TERRESTRIS STI 90-CAPSULAS- LANDERFIT,25,24,instock,instock,True
19258,19253,variation,810121055755,AMINO K.E.N CRAN BERRY POMEGRANATE- EVOGEN,3,3,outofstock,instock,True
19828,19826,variation,748927060140,GOLD STANDAR WHEY DOBLE RICH 1.47 LBS 22 SERVING,1,1,outofstock,instock,True
18864,18861,variation,7113101732151,ULTRA VEGANA CARAMELO PEANUT BUTTER 3 LBS IMPULSE,14,14,instock,instock,True
18939,18933,variation,7503013595868,WHEY PRO DUT CHOCOLATE 2 LBS,6,6,outofstock,instock,True
18892,18887,variation,703556204938,CREATINA STIM PRO 52 SERV. ORANGE IMPULSE,14,14,instock,instock,True
19123,19121,variation,850049150651,INT-WHEY-BLEND-COOKIES-CREAM-F L - 5LB (PROTEINA BLEND),4,4,outofstock,instock,True
19088,19081,variation,748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,590,599,instock,instock,True
20474,20464,variation,842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,39,39,instock,instock,True
19874,19871,variation,748927023374,AMINO ENERGY FRUIT FUSION 585G,106,106,instock,instock,True
13390,0,simple,810139574361,VITAMINA- E 30 CAPSULAS,21,21,instock,instock,True
21121,21118,variation,703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,6,5,outofstock,instock,True
11165,0,simple,829263000189,COLLAGENO ENERGIZADO PEPTIDES AMPD BERRY - MUSCLEOLOGY,3,3,outofstock,instock,True
19848,19843,variation,748927069068,AMINO ENERGY TROPICAL SUNRISE 270 G,2,2,outofstock,instock,True
19033,19029,variation,860007286919,PROTEINA ISOLATADA DE 2 LBS CINNAMON  CRUNCH CEREAL,6,6,outofstock,instock,True
109,0,simple,745560722022,"GLUTA MAX GLUTAMINA MICRONISADA, 80 SERV. 400G (UNFLAVORED) IMPULSE",12,12,instock,instock,True
11230,0,simple,850030689252,LIVER HEALTHY REVIVE,23,23,instock,instock,True
19415,19402,variation,817189025270,EVP XTREME N.O.TROPIC THUNDER- EVOGEN,8,8,instock,instock,True
19281,19277,variation,810121055298,HIDRATACION LEMON LIME,15,15,instock,instock,True
14414,0,simple,612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,112,112,instock,instock,True
20470,20464,variation,842595131253,C4 PERFORMANCE 16OZ CHERRY,85,85,instock,instock,True
19838,19835,variation,748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,47,47,instock,instock,True
19313,19304,variation,817189029100,EVP 3D SMASHIN PASSION ORANGE-EVOGEN,9,9,instock,instock,True
19737,19734,variation,810121056158,LIPOCIDE-IR JUCY GRAPPE-EVOGEN,17,17,instock,instock,True
19357,19354,variation,810121051290,CARNIGEN PREMIUN LIQUID RAINBON CANDY-EVOGEN,29,29,instock,instock,True
19850,19843,variation,748927063646,AMINO ENERGY WILD BERRY 270 G,1,1,outofstock,instock,True
13372,0,simple,810014673165,CHROMIO PICOLINATE 10000 MG 240 CAPSULAS,4,4,outofstock,instock,True
8901,0,simple,850049150262,ESSENTIAL-BURNER (QUEMADOR DE GRASA),6,6,outofstock,instock,True
20476,20464,variation,842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,57,57,instock,instock,True
19366,19364,variation,810121055328,EVP-AQ TROPIC THUNDER- EVOGEN,1,1,outofstock,instock,True
19278,19277,variation,810121057261,HIDRATACION PEACH TEA,14,14,instock,instock,True
19263,19253,variation,810121058978,AMINO K.E.M BLACK BERRY LEMONADE- EVOGEN,6,6,outofstock,instock,True
19747,19744,variation,810121056899,ISOJECT BIRTHDAY CAKE 1.71 LBS ISOJET EVOGEN,4,4,outofstock,instock,True
19735,19734,variation,810121056141,LIPOCIDE-IR TANGERINE-EVOGEN,21,21,instock,instock,True
19228,19225,variation,705016353415,ISO 100 FRUTY PEBBLES 3 LBS DYMATIZE,15,15,instock,instock,True
19309,19304,variation,810121053980,EVP 3D POLAR CHRRY FROST- EVOGEN,9,9,instock,instock,True
19292,19289,variation,817189020190,GLYCOJET UN FLAVORED,11,11,instock,instock,True
18858,18854,variation,713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,61,61,instock,instock,True
13368,0,simple,810014671666,ALPHA LIPOIC ACID 600 MG 120 CAPSULAS,12,12,instock,instock,True
11154,0,simple,829263227135,DTOX KIDNEY DETOXIFIER MUSCLEOLOGY,40,40,instock,instock,True
20467,20464,variation,842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,3105,3101,instock,instock,True
19034,19029,variation,850049150392,CBUM ITOLATE PROTEIN 2 LBS STRAWERRY BUN CAKE,4,4,outofstock,instock,True
8555,0,simple,666222941004,XPEL CAPS (MHP),86,86,instock,instock,True
11248,0,simple,850030689016,ASHWAGANDHA KSM-66 REVIVE,21,21,instock,instock,True
93,0,simple,745560722206,THERMOBLAST M5 (FAT BURNER) 120 CAPS (QUEMADOR HOMBRE) IMPULSE,3,3,outofstock,instock,True
19045,19043,variation,850016779366,BROWNIE + COLLAGEN RED VELVET,79,79,instock,instock,True
19089,19081,variation,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,647,647,instock,instock,True
20407,11808,variation,891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),730,730,instock,instock,True
13384,0,simple,810014679488,RESVERATROL 700 MG 120 CAPSULA,16,16,instock,instock,True
13381,0,simple,810014675367,NAC 120 CAPSULAS,58,58,instock,instock,True
19847,19843,variation,748927059144,AMINO ENERGY JUICY STRAWBERRY 270 G,0,0,outofstock,outofstock,True
19827,19826,variation,748927060133,GOLD STANDAR WHEY VAINILLA ICE CREAM 1.5 LBS 22 SERVING,4,4,outofstock,instock,True
19192,19183,variation,705016353187,PROTEINA ISO 100 GURMET CHOCOLATE 5 LBS DYMATIZE,4,4,outofstock,instock,True
14429,0,simple,612590416033,MELATONINA 10 MG 120 CAPSULAS- LANDERFIT,22,22,instock,instock,True
18913,18910,variation,181030000168,XTEND ORIGINAL 90 SERV. BLUE RASBERRY ICE,8,8,instock,instock,True
19856,19843,variation,748927026665,AMINO ENERGY FRUIT FUSION 270 G,134,134,instock,instock,True
19803,19800,variation,850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,23,23,instock,instock,True
19009,19008,variation,612590416668,PREMIUN WHEY VAINILLA 26 SERVING- LANDERFIT,7,7,instock,instock,True
19083,19081,variation,748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,347,347,instock,instock,True
18193,18186,variation,745560722169,PROLIVE BIO5 CHOCO COCO DE 5 LBS IMPULSE,0,0,outofstock,outofstock,True
11255,0,simple,850030689450,VITAMIN D3 REVIVE,110,110,instock,instock,True
19759,19744,variation,810121056684,ISOJECT VAINILLA COLD BREW COOFFE 1.76 LBSEVOGEN,1,1,outofstock,instock,True
11242,0,simple,850030689283,VITAMIN K2 & D3 REVIVE,14,14,instock,instock,True
19046,19043,variation,860008412199,BROWNIE LEMON ZEST,88,88,instock,instock,True
11149,0,simple,829263210137,CATEGORY 5 - CREATINA POWDER STIM FREE PREWORKOUT - MUSCLEOLOGY,31,31,instock,instock,True
18978,18977,variation,850044753833,PROTEINA DE 4.8 LB COOKIE & CREAM PRIMEVAL LABS,67,67,instock,instock,True
18875,18869,variation,703556204730,L CARNITINA 3500 RED & GREEN IMPULSE,6,6,outofstock,instock,True
20406,11808,variation,891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),784,783,instock,instock,True
19087,19081,variation,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,502,512,instock,instock,True
18195,18186,variation,703556204815,PROLIVE BIO5 BUTTER BLASTER DE 5 LBS IMPULSE,121,121,instock,instock,True
18863,18861,variation,713101732137,ULTRA VEGANA STRAWERRY ICE CREAM 3 LBS IMPULSE,14,14,instock,instock,True
18958,18955,variation,631656716979,MASS TECH -EXTREME 2000- VAINILLA 2000 6 LBS MUSCLETECH,9,9,instock,instock,True
20409,11808,variation,891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),819,818,instock,instock,True
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1965,1960,instock,instock,True
20448,20442,variation,842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,61,60,instock,instock,True
