id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,aplicado
128,0,simple,703556204808,COLAGENO DR. JOINT PROFESSIONAL JOINT SUPPORT TUTTI FRUTTI 52 SERV. IMPULSE,64,64,instock,instock,True,no_omitido
18907,18903,variation,810390028320,ALPHA AMINO 30 SERV. FRUIT PUNCH CELLUCOR,8,8,instock,instock,True,no_omitido
19206,19205,variation,75016600694,ISO 100 DUNKIN GLAZED DONUT1.34 LBS DYMATIZE,2,2,outofstock,instock,True,si
19838,19835,variation,748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,52,51,instock,instock,True,si
19355,19354,variation,810121055908,CARNIGEN PREMIUN LIQUID VICTORY PUNCH-EVOGEN,19,19,instock,instock,True,no_omitido
20466,20464,variation,842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,78,79,instock,instock,True,si
19410,19402,variation,817189029117,EVP XTREME SMASHIN PASSION ORANGE,8,8,instock,instock,True,no_omitido
13383,0,simple,810014674001,R-ALPHA LIPOIC ACID 100 MG 120 CAPSULAS,12,12,instock,instock,True,no_omitido
8901,0,simple,850049150262,ESSENTIAL-BURNER (QUEMADOR DE GRASA),6,6,outofstock,instock,True,si
19780,19778,variation,853237000738,PROTEINA ISOFIT COOKIES &CREAM 30 SERV. NUTREX,19,19,instock,instock,True,no_omitido
19737,19734,variation,810121056158,LIPOCIDE-IR JUCY GRAPPE-EVOGEN,18,18,instock,instock,True,no_omitido
18952,18946,variation,829263000066,NITRO UP BLEND VAINILLA 5 LBS - MUSCLEOLOGY,8,8,instock,instock,True,no_omitido
20469,20464,variation,842595134957,C4 PERFORMANCE ENERGY 16OZ BLUE RASPBERRY JOLLY RANCHER,99,99,instock,instock,True,no_omitido
19848,19843,variation,748927069068,AMINO ENERGY TROPICAL SUNRISE 270 G,2,2,outofstock,instock,True,si
19064,19061,variation,650076635257,VMS-PROTEIN ISOLATE-HIDROLIZED BIO-ACTIVE DE FRESA 5LB,122,122,instock,instock,True,no_omitido
19033,19029,variation,860007286919,PROTEINA ISOLATADA DE 2 LBS CINNAMON CRUNCH CEREAL,6,6,outofstock,instock,True,si
